{
debugQuery: { },
pageNumbers: 76,
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "迷你小单桶，体积小不占地，适合小件衣物",
brandId: "00002927D",
brandName: "乐众の星(Lezonzx)",
catentdesc: "乐众の星（LEZONZX） 2.2公斤迷你洗衣机小型婴儿童家用单桶半自动甩干洗脱一体 土豪金",
catentryId: "",
countOfarticle: "0",
partnumber: "10576667182",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"11308858486849142647","isKAcomoodity":"1","totalCount":"1.000000","countOfarticle":"0","praiseRate":"100.000000","goodsQualityScore":"0.000070","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000070","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000070","shopQualityScore":"0.743650","goodAppQualityScore":"0.000060","goodConQualityScore":"0.870000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10576667182":{"url":"/uimg1/b2c/image/jGhxc_AQJDZDZZzufExCNQ==.jpg"}}",
mdmGroupId: "R0401004",
auxdescription: "迷你小单桶，体积小不占地，适合小件衣物",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "22-26",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "168672655_0070113278",
vendorId: "0070113278",
vendorName: "恒马电器专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "艾思玛AisimaRo XPB42-688 粉色 单桶小型迷你洗衣机带甩干脱水半自动婴儿小洗衣机",
catentryId: "",
countOfarticle: "201",
partnumber: "168672655",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"11626279373999568246","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"1.000000","countOfarticle":"201","praiseRate":"98.000000","goodsQualityScore":"0.000060","shopQualityScore":"0.747490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"201","categoryId":"244006","goodQualityScore":"0.000050","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"201","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.535229","goodQualityScore":"0.000050","shopQualityScore":"0.747490","goodAppQualityScore":"0.000120","goodConQualityScore":"0.810000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.058824","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
ZYLY: "0",
appAttrTitle: [
"体积小不占地",
"适合小件衣物",
"宝宝专用"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://hengmadianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "10576667184_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "迷你小单桶，体积小不占地，适合小件衣物",
brandId: "00002927D",
brandName: "乐众の星(Lezonzx)",
catentdesc: "乐众の星（LEZONZX） 2.2公斤迷你洗衣机小型婴儿童家用单桶半自动甩干洗脱一体 玫瑰金",
catentryId: "",
countOfarticle: "0",
partnumber: "10576667184",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"11308858486849142647","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"0","praiseRate":"100.000000","goodsQualityScore":"0.000000","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000020","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000020","shopQualityScore":"0.743650","goodAppQualityScore":"0.000000","goodConQualityScore":"0.870000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10576667184":{"url":"/uimg1/b2c/image/CiThlfXAKf5_ErIJwVfIOw==.jpg"}}",
mdmGroupId: "R0401004",
auxdescription: "迷你小单桶，体积小不占地，适合小件衣物",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "22-26",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "168668120_0070113278",
vendorId: "0070113278",
vendorName: "恒马电器专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "艾思玛(AisimaRo) XPB42-688蓝色 4.2kg单桶小型迷你洗衣机 半自动婴儿小洗衣机 适合单身贵族 单缸",
catentryId: "",
countOfarticle: "201",
partnumber: "168668120",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"11626279373999568246","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"10.000000","countOfarticle":"201","praiseRate":"98.000000","goodsQualityScore":"0.000310","shopQualityScore":"0.747490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"201","categoryId":"244006","goodQualityScore":"0.000300","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"201","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.535229","goodQualityScore":"0.000300","shopQualityScore":"0.747490","goodAppQualityScore":"0.000470","goodConQualityScore":"0.818900","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.062595","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
ZYLY: "0",
appAttrTitle: [
"体积小不占地",
"适合小件衣物",
"宝宝专用"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://hengmadianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
commentShow: "200+"
},
saleStatus: 0
},
{
partnumberVendorId: "168667566_0070113278",
vendorId: "0070113278",
vendorName: "恒马电器专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB42-688 4.2公斤单桶迷你洗衣机 绿色 带甩干脱水半自动抗菌消毒款婴儿小洗衣机单缸洗衣机",
catentryId: "",
countOfarticle: "201",
partnumber: "168667566",
price: "149.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"149.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"11626279373999568246","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"2.000000","countOfarticle":"201","praiseRate":"98.000000","goodsQualityScore":"0.000050","shopQualityScore":"0.747490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"201","categoryId":"244006","goodQualityScore":"0.000040","totalScore":"3994.127441","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"201","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.535229","goodQualityScore":"0.000040","shopQualityScore":"0.747490","goodAppQualityScore":"0.000130","goodConQualityScore":"0.730000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.064000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
ZYLY: "0",
appAttrTitle: [
"体积小不占地",
"适合小件衣物",
"宝宝专用"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://hengmadianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
